Title,Link,PropertyType,Price,Location,State,Bedrooms,Bathrooms,Area,Down_Payment,Payment_Method,Price_Per_M
"Villa for sale, 545m, King Mariout",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-al-amereyah-king-mariout-cairo-borg-al-arab-desert-road-6627666,Villa,7000000,Cairo   Borg Al Arab Desert Road,King Mariout,6,7,545,0,Cash,12844.04
Resale Apartment – 120 sqm in New Smouha,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-sky-line-7472719,Apartment,5600000,Sky line,Smouha,2,2,120,0,Cash,46666.67
Apartment for sale duplex 650m Laurent,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-alexandria-hay-sharq-laurent-al-farek-ismail-srhank-st-6817367,Duplex,16250000,Al Farek Ismail Srhank St.,Laurent,4,5,650,0,Cash,25000.0
Apartment with open view & master bedroom Sporting,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-sporting-ahmed-allam-st-7301266,Apartment,5200000,Ahmed Allam St.,Sporting,3,3,200,0,Cash,26000.0
"Apartment for sale, 290 m, Kafr Abdo (Brand Tower)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-kafr-abdo-al-sayeda-sakina-bint-al-hussein-st-7060658,Apartment,13000000,Al Sayeda Sakina Bint Al Hussein St.,Kafr Abdo,3,4,290,0,Cash,44827.59
For sale apartment 140 sqm -Sidi Gaber - open view,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-sidi-gaber-sidi-gaber-st-6900308,Apartment,2700000,Sidi Gaber St.,Sidi Gaber,3,1,140,0,Cash,19285.71
"Apartment for sale, 210 m² - El Soultan Hussien",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-wasat-raml-station-istanbul-salah-mostafa-el-soltan-hussein-st-7264768,Apartment,5600000,Istanbul - Salah Mostafa - El Soltan Hussein St.,Raml Station,3,2,210,0,Cash,26666.67
Open  view -  Licensed apartment,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-bolkly-la-vison-st-7098441,Apartment,3400000,La Vison St.,Bolkly,3,1,135,0,Cash,25185.19
"Villa for sale, 1115 m², King Mariout",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-al-amereyah-king-mariout-cairo-borg-al-arab-desert-road-7371827,Villa,8500000,Cairo   Borg Al Arab Desert Road,King Mariout,7,6,1115,0,Cash,7623.32
234 m Smouha (Fawzy Moaz St. & Albert El Awal st.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-mohamed-fawzy-moaz-st-7334999,Apartment,9500000,Mohamed Fawzy Moaz St.,Smouha,3,2,234,0,Cash,40598.29
Own your unit with an open view of the landscape,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-6623183,Apartment,9149930,Vee Sawari,Waterfront,3,2,147,0,Installments,62244.42
Apartment for sale - Mostafa Kamel- area 175 Full,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-kafr-abdo-mostafa-kamel-mosque-st-6774204,Apartment,5000000,Mostafa Kamel Mosque St.,Kafr Abdo,3,2,175,0,Cash,28571.43
Residential unit for sale - in The One Smouha,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-the-one-7389875,Apartment,9865000,The One,Smouha,2,2,137,0,Installments,72007.3
Apartment For sale 175 m San Stefano,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-laurent-abdel-salam-aref-st-5470051,Apartment,5775000,Abdel Salam Aref St.,Laurent,3,2,175,0,Cash,33000.0
"Duplex apartment for sale, 130 m², Sidi Bishr (Kha",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-asafra-el-asafra-qebli-khaled-ibn-al-waleed-no-1-st-7226572,Apartment,3500000,Khaled Ibn Al Waleed No. 1 St.,El Asafra Qebli,2,2,130,0,Cash,26923.08
Your apartment in the new launch in Sawary,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-7091523,Apartment,7305900,Vee Sawari,Waterfront,3,3,213,0,Cash,34300.0
apartment in the heart of Smouha with a 10%,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-al-shohada-square-st-6798008,Apartment,7426000,Al Shohada Square St.,Smouha,3,2,158,0,Installments,47000.0
Villa for sale340m Alexandria(Palm Hills compound),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-palm-hills-5561917,Villa,30750000,Palm Hills,Palm Hills,5,6,340,0,Installments,90441.18
"Licensed apartment for sale, 288 m, Smouha - (Fawz",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-mohamed-fawzy-moaz-st-7275310,Apartment,14500000,Mohamed Fawzy Moaz St.,Smouha,3,3,288,0,Cash,50347.22
Duplex apartment for sale - Smouha - area 246 m,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-alexandria-hay-sharq-smouha-smouha-square-6217108,Duplex,9000000,Smouha Square,Smouha,3,3,246,0,Cash,36585.37
"For sale, Janaklis (80m), off Omar Al-Mukhtar .",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-janaklees-omar-al-mokhtar-st-6494899,Apartment,1500000,Omar Al Mokhtar St.,Janaklees,2,1,80,0,Cash,18750.0
Own your apartment with an open view on Fawzy Moaz,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-mohamed-fawzy-moaz-st-6793676,Apartment,8450000,Mohamed Fawzy Moaz St.,Smouha,3,3,285,0,Cash,29649.12
Apartment for sale 100 m Miami,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-khaled-ibn-al-walid-st-5757493,Apartment,1800000,Khaled Ibn Al Walid St.,Sidi Beshr,2,1,100,0,Cash,18000.0
Apartment for sale 135 m Smouha (Al Nasr St.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-al-nasr-st-5803627,Apartment,3000000,Al Nasr St.,Smouha,2,2,135,0,Cash,22222.22
Villa for Sale in King Mariout - Registered,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-al-amereyah-king-mariout-mazen-st-6207269,Villa,18000000,Mazen St.,King Mariout,7,4,400,0,Cash,45000.0
"Apartment for sale, 141 m, Smouha (Marouj)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-vee-muruj-6989057,Apartment,5200000,Vee Muruj,Smouha,3,2,141,0,Cash,36879.43
"Apartment for sale, 158 m², Smouha Valori",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-valore-smouha-7459557,Apartment,5150000,Valore Smouha,Smouha,3,2,158,0,Cash,32594.94
Apartment for sale 175 m Smouha (Golden Square),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-doctor-yahya-al-mashad-st-5680234,Apartment,8500000,Doctor Yahya Al Mashad St.,Smouha,3,2,175,0,Cash,48571.43
Apartment for Sale  275 m – Edmon Fremon Street,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-ademon-fremon-st-7244691,Apartment,14000000,Ademon Fremon St.,Smouha,3,3,275,0,Cash,50909.09
"Apartment for sale, 350 m², Miami",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-miami-el-gaish-road-7312204,Apartment,11500000,El Gaish Road,Miami,4,3,350,0,Cash,32857.14
For sale Saba Pasha (135m) steps from the sea .,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-saba-basha-mansoura-st-7263822,Apartment,4400000,Mansoura St.,Saba Basha,3,2,135,0,Cash,32592.59
"Apartment for sale, 77 m (Maamoura Beach)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-al-maamoura-corniche-al-maamoura-7210523,Apartment,5250000,Corniche Al Maamoura,Al Maamoura,2,1,77,0,Cash,68181.82
Apartment for sale - Mohamed Naguib - area 90 full,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-mohamed-naguib-st-5024814,Apartment,1350000,Mohamed Naguib St.,Sidi Beshr,2,1,90,0,Cash,15000.0
"Open view of Antoniades,- apartment in Jacaranda",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-al-shohada-square-st-7089687,Apartment,4571800,Al Shohada Square St.,Smouha,2,2,106,0,Installments,43130.19
Apartment for sale 180 m El Asafra (Gamal Abdel Na,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-asafra-el-asafra-bahary-gamal-abdel-nasser-road-5775320,Apartment,4300000,Gamal Abdel Nasser Road,El Asafra Bahary,3,2,180,0,Cash,23888.89
Apartment for sale110m Al Asafra Gamal AbdelNasser,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-asafra-el-asafra-bahary-gamal-abdel-nasser-road-6060310,Apartment,2200000,Gamal Abdel Nasser Road,El Asafra Bahary,2,1,110,0,Cash,20000.0
Apartment for sale 200 m Al Ibrahimeya (steps from,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-wasat-ibrahimia-omar-zaafran-st-6084115,Apartment,5800000,Omar Zaafran St.,Ibrahimia,3,2,200,0,Cash,29000.0
Apartment for sale 145 m Miami (Salah Al Din st),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-miami-salah-al-din-shaban-st-5784534,Apartment,2400000,Salah Al Din Shaban St.,Miami,3,1,145,0,Cash,16551.72
Apartment for sale 220 m Louran (Kiroseiz Mall),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-laurent-mohamed-othman-st-4766544,Apartment,4550000,Mohamed Othman St.,Laurent,3,2,220,0,Cash,20681.82
"Licensed apartment for sale, 235 sqm, Sporting, Ab",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-sporting-abo-qir-st-7275164,Apartment,13200000,Abo Qir St.,Sporting,3,3,235,0,Cash,56170.21
Open view immediate delivery,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-valore-antoniades-8079936,Apartment,6300000,Valore Antoniades,Smouha,3,2,169,0,Cash,37278.11
"Apartment for sale, 220 m, Rushdi (soria Street)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-abdou-zaidan-st-6850868,Apartment,7400000,Abdou Zaidan St.,Roushdy,3,3,220,0,Cash,33636.36
Apartment For Sale 315m Kafr Abdo ( San Geny Sq),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-kafr-abdo-sant-square-3753482,Apartment,7000000,Sant Square,Kafr Abdo,4,4,315,0,Cash,22222.22
"Apartment for sale 175 m, Louran(Abu Qir Street)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-laurent-al-ekbal-st-7060210,Apartment,5500000,Al Ekbal St.,Laurent,3,2,175,0,Cash,31428.57
Apartment for Sale in Kafr Abdo - Alexandria,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-kafr-abdo-kafr-abdo-st-5862197,Apartment,13000000,Kafr Abdo St.,Kafr Abdo,3,2,250,0,Cash,52000.0
Apartment for sale 217 m Saba basha,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-saba-basha-al-naqib-ahmed-mamdouh-st-5124139,Apartment,5500000,Al Naqib Ahmed Mamdouh St.,Saba Basha,4,3,217,0,Cash,25345.62
Apartment for Sale 130 m Montazah (Al Malek St. ),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-el-montazah-al-malek-st-6176750,Apartment,2000000,Al Malek St.,El Montazah,3,1,130,0,Cash,15384.62
"Apartment for sale, 160 m², Smouha (Bahaa El Din E",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-mohamed-bahaa-al-din-al-ghouri-st-7241104,Apartment,5500000,Mohamed Bahaa Al Din Al Ghouri St.,Smouha,3,2,160,0,Cash,34375.0
For sale in Smouha (Lotus Compound),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-al-nasr-st-5079778,Apartment,2600000,Al Nasr St.,Smouha,3,2,125,0,Cash,20800.0
Corner apartment - open views- distinguished floor,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-7356075,Apartment,7150000,Vee Sawari,Waterfront,3,3,206,0,Cash,34708.74
Own your residential unit now in U PARK Muruj,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-vee-muruj-6727319,Apartment,8758000,Vee Muruj,Smouha,3,2,151,0,Installments,58000.0
"Apartment for sale, 300 meter, Zizinia",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-al-geish-road-6427533,Apartment,16700000,Al Geish Road,Glim,4,3,300,0,Cash,55666.67
Apartment for sale 177 m Smouha (Marouj),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-vee-muruj-6983908,Apartment,5800000,Vee Muruj,Smouha,3,2,177,0,Cash,32768.36
Apartment for sale 180 m Smouha (Zaki Ragab St.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-zaki-ragab-st-5946426,Apartment,5350000,Zaki Ragab St.,Smouha,3,2,180,0,Cash,29722.22
"Apartment for sale, 160 m², Saba Pasha",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-saba-basha-mohammed-saleh-abou-youssef-st-7381596,Apartment,5300000,Mohammed Saleh Abou Youssef St.,Saba Basha,3,2,160,0,Cash,33125.0
Villa for sale 560 m King Mariout (Mohamed Rashid,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-al-amereyah-king-mariout-alexandria-desert-road-6658247,Villa,7500000,Alexandria Desert Road,King Mariout,3,3,560,0,Cash,13392.86
Payment over 4 years - villa view - fully finished,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-7416580,Apartment,4877550,Vee Sawari,Waterfront,2,2,115,0,Cash,42413.48
"Duplex apartment for sale, 300 m, Azarita",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-than-el-montazah-abu-qir-al-iskandar-al-akbar-st-5118631,Apartment,9000000,Al Iskandar Al Akbar St.,Abu Qir,4,2,300,0,Cash,30000.0
Apartment for sale 90 m Smouha (Ismail Siri st.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-ismail-serry-st-5830706,Apartment,2300000,Ismail Serry St.,Smouha,2,1,90,0,Cash,25555.56
Apartment for sale 325m Kafr Abdo,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-bolkly-amir-al-behar-hamdy-eldeeb-st-5990328,Apartment,8900000,Amir Al Behar Hamdy Eldeeb St.,Bolkly,3,3,325,0,Cash,27384.62
Apartment for sale 202 m Kafr Abdo,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-bolkly-ibrahim-rady-st-5821420,Apartment,5000000,Ibrahim Rady St.,Bolkly,3,2,202,0,Cash,24752.48
"Duplex for sale, 270 m, Ezz El Arab Street,",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-alexandria-hay-sharq-laurent-mohamed-ezz-al-arab-st-7514336,Duplex,6200000,Mohamed Ezz Al Arab St.,Laurent,3,3,270,0,Cash,22962.96
For sale Sidi Bishr (90m) Direct sea view .,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-miami-el-gaish-road-7263801,Apartment,2100000,El Gaish Road,Miami,2,1,90,0,Cash,23333.33
Own standalone and pay in installments over 10year,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-alex-west-7464460,Villa,44000000,Alex West,Agami,6,6,590,0,Installments,74576.27
Apartment for sale 140 m Louran (Maher Bek St.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-laurent-maher-bek-st-5839827,Apartment,4400000,Maher Bek St.,Laurent,2,2,140,0,Cash,31428.57
Spacious apartment for sale -Miami near the Acade,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-miami-mogamaa-miami-st-6127681,Apartment,1900000,Mogamaa Miami St.,Miami,3,1,110,0,Cash,17272.73
Apartment for sale 315m Zizinia Al-Muhafazat St,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-ahmed-yehia-st-6283957,Apartment,15000000,Ahmed Yehia St.,Glim,3,3,315,0,Cash,47619.05
"Apartment for sale, 240 m², Zizinia",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-san-stefano-ibn-hokal-st-6997148,Apartment,10000000,Ibn Hokal St.,San Stefano,3,2,240,0,Cash,41666.67
"Apartment for sale, 276 m² - Rushdy - Abu Qir St.",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-roushdy-st-7508525,Apartment,6000000,Roushdy St.,Roushdy,3,3,276,0,Cash,21739.13
Apartment for sale 165m² Glim (Ahmed Yahya Street),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-ahmed-yehia-st-7255111,Apartment,4500000,Ahmed Yehia St.,Glim,2,1,165,0,Cash,27272.73
Apartment  | For sale | Abu Youssef Al-Ajmi .,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-al-agami-al-hanouvel-abou-youssef-st-5881638,Apartment,1695000,Abou Youssef St.,Al Hanouvel,4,3,156,0,Cash,10865.38
Sky Villa (SKY ViLLA) for sale 284 m Smouha,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-alexandria-hay-sharq-el-rabaa-el-nasrya-alexandria-agriculture-road-6999421,Duplex,9415000,Alexandria Agriculture Road,El Rabaa El Nasrya,3,3,284,0,Cash,33151.41
Open view- Licensed apartment,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-green-towers-7455029,Apartment,4500000,Green Towers,Smouha,3,2,130,0,Cash,34615.38
Duplex apartment for sale 185 m Sidi Bishr,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-mohammad-ngeeb-street-6779638,Apartment,5000000,Mohammad Ngeeb Street,Sidi Beshr,3,2,185,0,Cash,27027.03
Apartment for sale 130 m Sidi Bishr(Malk Hifny st),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-malak-hefny-st-5676670,Apartment,1700000,Malak Hefny St.,Sidi Beshr,3,1,130,0,Cash,13076.92
Sky Villa Resale for Sale 275m Smouha - Skyline,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-sharq-smouha-sky-line-8548027,Villa,12700000,Sky line,Smouha,5,3,275,0,Cash,46181.82
Villa for sale 500 m King Mariout (Ahmed Rashid St,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-al-amereyah-king-mariout-mohammed-rashid-road-7487120,Villa,8500000,Mohammed Rashid Road,King Mariout,5,5,500,0,Cash,17000.0
Apartment for sale195m Roushdy Steps from Syria st,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-syria-st-5978545,Apartment,5350000,Syria St.,Roushdy,4,2,195,0,Cash,27435.9
"With a 10% down payment, own your apartment in Saw",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-7019053,Apartment,9600000,Vee Sawari,Waterfront,3,2,150,0,Installments,64000.0
"Apartment for sale, 185m, Mostafa Kamel",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-kafr-abdo-kafr-abdo-st-7012288,Apartment,5500000,Kafr Abdo St.,Kafr Abdo,4,2,185,0,Cash,29729.73
Administrative unit for sale 235 m Gleem (on sea),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-al-geish-road-6459103,Apartment,8500000,Al Geish Road,Glim,4,2,235,0,Cash,36170.21
Apartment for sale 130m Moharam Bek(Zain ElAbeden),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-wasat-moharam-bek-zein-al-abdeen-st-6030076,Apartment,2750000,Zein Al Abdeen St.,Moharam Bek,3,1,130,0,Cash,21153.85
Apartment for Resale – 155 sqm Sawary,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-7351614,Apartment,7750000,Vee Sawari,Waterfront,3,3,155,0,Cash,50000.0
Apartment for sale 125 m Sidi Bishr Tram,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-saraya-ali-abadi-st-6334914,Apartment,3000000,Ali Abadi St.,Saraya,3,1,125,0,Cash,24000.0
Less than half the market price,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-7139983,Apartment,4900000,Alex West,Agami,3,3,184,0,Cash,26630.43
"Apartment for sale, 270 sqm - Laurent -",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-laurent-al-ekbal-st-6189213,Apartment,8600000,Al Ekbal St.,Laurent,3,3,270,0,Cash,31851.85
For sale in Somid Smouha with fully open views,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-smouha-14th-of-may-bridge-5543873,Apartment,5800000,14th of May Bridge,Smouha,3,2,255,0,Cash,22745.1
"Apartment for sale, 290 m, Gleem (direct sea view)",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-al-geish-road-7147205,Apartment,15000000,Al Geish Road,Glim,2,2,290,0,Cash,51724.14
Apartment for sale - Al-Asawy -area 130 full mete,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-awal-el-montazah-sidi-beshr-mahmoud-al-essawy-st-6229092,Apartment,2700000,Mahmoud Al Essawy St.,Sidi Beshr,3,1,130,0,Cash,20769.23
Apartment for sale 168m Saba Basha(steps from sea),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-saba-basha-ghazzah-st-6497814,Apartment,4000000,Ghazzah St.,Saba Basha,2,1,168,0,Cash,23809.52
Villa for sale 750 m Roshdy (Ibrahim Helmy St.),https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-sharq-roushdy-ibrahim-helmy-st-5754826,Villa,60000000,Ibrahim Helmy St.,Roushdy,7,4,750,0,Cash,80000.0
Open view of the largest plaza - master room,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-alex-west-6952158,Apartment,7601000,Alex West,Agami,3,2,153,0,Installments,49679.74
Your apartment with an open view in Sawary,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-alexandria-compounds-sawary-waterfront-vee-sawari-6911590,Apartment,8690000,Vee Sawari,Waterfront,4,3,158,0,Installments,55000.0
"Apartment for sale, 215 m², Kafr Abdo Ismailia St",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-roushdy-ahmed-kamal-st-7411689,Apartment,10500000,Ahmed Kamal St.,Roushdy,3,2,215,0,Cash,48837.21
Apartment for Sale in Gleem - 1st Use,https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-alexandria-hay-sharq-glim-abo-qir-st-4376431,Apartment,8600000,Abo Qir St.,Glim,3,3,329,0,Cash,26139.82
"5% down payment, your villa in  serviced compound",https://www.propertyfinder.eghttps://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-hay-sharq-smouha-al-shohada-square-st-6763450,Villa,33711247,Al Shohada Square St.,Smouha,6,5,309,0,Installments,109097.89
